"Année","Entité administrative","Activité","Energie","Variable","Valeur","Unite"
"2007","ABRIÈS (05)","Tous secteurs","Toutes énergies","conso","1567.5","tep"
"2007","AIGLUN (04)","Tous secteurs","Toutes énergies","conso","3464.2","tep"
"2007","AIGLUN (06)","Tous secteurs","Toutes énergies","conso","78.4","tep"
"2007","AIGUILLES (05)","Tous secteurs","Toutes énergies","conso","1692.6","tep"
"2007","AIGUINES (83)","Tous secteurs","Toutes énergies","conso","1210.1","tep"
"2007","AIX-EN-PROVENCE (13)","Tous secteurs","Toutes énergies","conso","282598.7","tep"
"2007","ALLAUCH (13)","Tous secteurs","Toutes énergies","conso","19503.1","tep"
"2007","ALLEINS (13)","Tous secteurs","Toutes énergies","conso","3005.6","tep"
"2007","ALLEMAGNE-EN-PROVENCE (04)","Tous secteurs","Toutes énergies","conso","1375.7","tep"
"2007","ALLONS (04)","Tous secteurs","Toutes énergies","conso","235.2","tep"
"2007","ALLOS (04)","Tous secteurs","Toutes énergies","conso","5352.1","tep"
"2007","ALTHEN-DES-PALUDS (84)","Tous secteurs","Toutes énergies","conso","5934.7","tep"
"2007","AMIRAT (06)","Tous secteurs","Toutes énergies","conso","66.9","tep"
"2007","AMPUS (83)","Tous secteurs","Toutes énergies","conso","1493.3","tep"
"2007","ANCELLE (05)","Tous secteurs","Toutes énergies","conso","2057.9","tep"
"2007","ANDON (06)","Tous secteurs","Toutes énergies","conso","2370.7","tep"
"2007","ANGLES (04)","Tous secteurs","Toutes énergies","conso","105.2","tep"
"2007","ANNOT (04)","Tous secteurs","Toutes énergies","conso","1643.1","tep"
"2007","ANSOUIS (84)","Tous secteurs","Toutes énergies","conso","1738.1","tep"
"2007","ANTIBES (06)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","ANTIBES (06)","Tous secteurs","Toutes énergies","conso","142553.1","tep"
"2007","APT (84)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","APT (84)","Tous secteurs","Toutes énergies","conso","22027.1","tep"
"2007","ARCHAIL (04)","Tous secteurs","Toutes énergies","conso","27.8","tep"
"2007","ARLES (13)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","ARLES (13)","Tous secteurs","Toutes énergies","conso","149697.6","tep"
"2007","ARTIGNOSC-SUR-VERDON (83)","Tous secteurs","Toutes énergies","conso","304.9","tep"
"2007","ARTIGUES (83)","Tous secteurs","Toutes énergies","conso","698.2","tep"
"2007","ARVIEUX (05)","Tous secteurs","Toutes énergies","conso","2364.4","tep"
"2007","ASCROS (06)","Tous secteurs","Toutes énergies","conso","180.5","tep"
"2007","ASPREMONT (05)","Tous secteurs","Toutes énergies","conso","1102.8","tep"
"2007","ASPREMONT (06)","Tous secteurs","Toutes énergies","conso","3103.2","tep"
"2007","ASPRES-LÈS-CORPS (05)","Tous secteurs","Toutes énergies","conso","690.5","tep"
"2007","ASPRES-SUR-BUËCH (05)","Tous secteurs","Toutes énergies","conso","2365.5","tep"
"2007","AUBAGNE (13)","Tous secteurs","Toutes énergies","conso","96392.0","tep"
"2007","AUBENAS-LES-ALPES (04)","Tous secteurs","Toutes énergies","conso","146.1","tep"
"2007","AUBESSAGNE (05)","Tous secteurs","Toutes énergies","conso","1436.4","tep"
"2007","AUBIGNAN (84)","Tous secteurs","Toutes énergies","conso","5133.2","tep"
"2007","AUBIGNOSC (04)","Tous secteurs","Toutes énergies","conso","3506.4","tep"
"2007","AUPS (83)","Tous secteurs","Toutes énergies","conso","3765.8","tep"
"2007","AUREILLE (13)","Tous secteurs","Toutes énergies","conso","1549.7","tep"
"2007","AUREL (84)","Tous secteurs","Toutes énergies","conso","323.4","tep"
"2007","AURIBEAU (84)","Tous secteurs","Toutes énergies","conso","106.5","tep"
"2007","AURIBEAU-SUR-SIAGNE (06)","Tous secteurs","Toutes énergies","conso","5263.8","tep"
"2007","AURIOL (13)","Tous secteurs","Toutes énergies","conso","17262.2","tep"
"2007","AURONS (13)","Tous secteurs","Toutes énergies","conso","699.4","tep"
"2007","AUTHON (04)","Tous secteurs","Toutes énergies","conso","659.5","tep"
"2007","AUVARE (06)","Tous secteurs","Toutes énergies","conso","62.2","tep"
"2007","AUZET (04)","Tous secteurs","Toutes énergies","conso","154.2","tep"
"2007","AVANÇON (05)","Tous secteurs","Toutes énergies","conso","1283.1","tep"
"2007","AVIGNON (84)","Tous secteurs","Toutes énergies","conso","","Secret Stat"
"2007","AVIGNON (84)","Tous secteurs","Toutes énergies","conso","166068.4","tep"
"2007","BAGNOLS-EN-FORÊT (83)","Tous secteurs","Toutes énergies","conso","3109.2","tep"
"2007","BAIROLS (06)","Tous secteurs","Toutes énergies","conso","552.1","tep"
"2007","BANDOL (83)","Tous secteurs","Toutes énergies","conso","15687.9","tep"
"2007","BANON (04)","Tous secteurs","Toutes énergies","conso","3228.2","tep"
"2007","BARATIER (05)","Tous secteurs","Toutes énergies","conso","1498.1","tep"
"2007","BARBENTANE (13)","Tous secteurs","Toutes énergies","conso","6586.4","tep"
"2007","BARCELONNETTE (04)","Tous secteurs","Toutes énergies","conso","7324.6","tep"
"2007","BARCILLONNETTE (05)","Tous secteurs","Toutes énergies","conso","387.4","tep"
"2007","BARGÈME (83)","Tous secteurs","Toutes énergies","conso","302.5","tep"
"2007","BARGEMON (83)","Tous secteurs","Toutes énergies","conso","1502.9","tep"
"2007","BARJOLS (83)","Tous secteurs","Toutes énergies","conso","3846.6","tep"
"2007","BARLES (04)","Tous secteurs","Toutes énergies","conso","208.8","tep"
"2007","BARRAS (04)","Tous secteurs","Toutes énergies","conso","1583.9","tep"
"2007","BARRÊME (04)","Tous secteurs","Toutes énergies","conso","1691.2","tep"
"2007","BARRET-SUR-MÉOUGE (05)","Tous secteurs","Toutes énergies","conso","337.9","tep"
"2007","BAUDINARD-SUR-VERDON (83)","Tous secteurs","Toutes énergies","conso","375.0","tep"
"2007","BAUDUEN (83)","Tous secteurs","Toutes énergies","conso","1100.2","tep"
"2007","BAYONS (04)","Tous secteurs","Toutes énergies","conso","649.8","tep"
"2007","BEAUJEU (04)","Tous secteurs","Toutes énergies","conso","480.6","tep"
"2007","BEAULIEU-SUR-MER (06)","Tous secteurs","Toutes énergies","conso","5450.8","tep"
"2007","BEAUMES-DE-VENISE (84)","Tous secteurs","Toutes énergies","conso","3025.2","tep"
"2007","BEAUMETTES (84)","Tous secteurs","Toutes énergies","conso","1339.6","tep"
