"Année","Entité administrative","Type de production","Filière de production","Filière détaillée","Valeur","Unite"
"2007","ABRIÈS (05)","Thermique","Filières EnR et autres","Toutes","1145.3","MWh PCI"
"2007","AIGLUN (04)","Thermique","Filières EnR et autres","Toutes","1141.5","MWh PCI"
"2007","AIGLUN (06)","Thermique","Filières EnR et autres","Toutes","232.3","MWh PCI"
"2007","AIGUILLES (05)","Thermique","Filières EnR et autres","Toutes","621.6","MWh PCI"
"2007","AIGUINES (83)","Thermique","Filières EnR et autres","Toutes","637.1","MWh PCI"
"2007","AIX-EN-PROVENCE (13)","Electricité","Filières EnR et autres","Toutes","78763.1","MWh PCI"
"2007","AIX-EN-PROVENCE (13)","Thermique","Filières EnR et autres","Toutes","134729.1","MWh PCI"
"2007","ALLAUCH (13)","Thermique","Filières EnR et autres","Toutes","9398.1","MWh PCI"
"2007","ALLEINS (13)","Thermique","Filières EnR et autres","Toutes","1618.0","MWh PCI"
"2007","ALLEMAGNE-EN-PROVENCE (04)","Thermique","Filières EnR et autres","Toutes","698.8","MWh PCI"
"2007","ALLONS (04)","Electricité","Filières EnR et autres","Toutes","0.1","MWh PCI"
"2007","ALLONS (04)","Thermique","Filières EnR et autres","Toutes","419.9","MWh PCI"
"2007","ALLOS (04)","Electricité","Filières EnR et autres","Toutes","822.4","MWh PCI"
"2007","ALLOS (04)","Thermique","Filières EnR et autres","Toutes","2284.2","MWh PCI"
"2007","ALTHEN-DES-PALUDS (84)","Thermique","Filières EnR et autres","Toutes","1460.1","MWh PCI"
"2007","AMIRAT (06)","Thermique","Filières EnR et autres","Toutes","107.3","MWh PCI"
"2007","AMPUS (83)","Electricité","Filières EnR et autres","Toutes","0.6","MWh PCI"
"2007","AMPUS (83)","Thermique","Filières EnR et autres","Toutes","1626.8","MWh PCI"
"2007","ANCELLE (05)","Electricité","Filières EnR et autres","Toutes","4.3","MWh PCI"
"2007","ANCELLE (05)","Thermique","Filières EnR et autres","Toutes","1706.7","MWh PCI"
"2007","ANDON (06)","Thermique","Filières EnR et autres","Toutes","935.6","MWh PCI"
"2007","ANGLES (04)","Thermique","Filières EnR et autres","Toutes","292.8","MWh PCI"
"2007","ANNOT (04)","Thermique","Filières EnR et autres","Toutes","1383.4","MWh PCI"
"2007","ANSOUIS (84)","Thermique","Filières EnR et autres","Toutes","963.3","MWh PCI"
"2007","ANTIBES (06)","Electricité","Filières EnR et autres","Toutes","7354.7","MWh PCI"
"2007","ANTIBES (06)","Thermique","Filières EnR et autres","Toutes","20899.5","MWh PCI"
"2007","APT (84)","Electricité","Filières EnR et autres","Toutes","2.4","MWh PCI"
"2007","APT (84)","Thermique","Filières EnR et autres","Toutes","5479.8","MWh PCI"
"2007","ARCHAIL (04)","Thermique","Filières EnR et autres","Toutes","40.5","MWh PCI"
"2007","ARLES (13)","Electricité","Filières EnR et autres","Toutes","80703.9","MWh PCI"
"2007","ARLES (13)","Thermique","Filières EnR et autres","Toutes","100040.5","MWh PCI"
"2007","ARTIGNOSC-SUR-VERDON (83)","Thermique","Filières EnR et autres","Toutes","626.9","MWh PCI"
"2007","ARTIGUES (83)","Thermique","Filières EnR et autres","Toutes","281.3","MWh PCI"
"2007","ARVIEUX (05)","Thermique","Filières EnR et autres","Toutes","988.7","MWh PCI"
"2007","ASCROS (06)","Thermique","Filières EnR et autres","Toutes","381.7","MWh PCI"
"2007","ASPREMONT (05)","Thermique","Filières EnR et autres","Toutes","729.2","MWh PCI"
"2007","ASPREMONT (06)","Electricité","Filières EnR et autres","Toutes","1.5","MWh PCI"
"2007","ASPREMONT (06)","Thermique","Filières EnR et autres","Toutes","1302.7","MWh PCI"
"2007","ASPRES-LÈS-CORPS (05)","Thermique","Filières EnR et autres","Toutes","440.8","MWh PCI"
"2007","ASPRES-SUR-BUËCH (05)","Thermique","Filières EnR et autres","Toutes","1711.6","MWh PCI"
"2007","AUBAGNE (13)","Electricité","Filières EnR et autres","Toutes","15144.4","MWh PCI"
"2007","AUBAGNE (13)","Thermique","Filières EnR et autres","Toutes","26376.7","MWh PCI"
"2007","AUBENAS-LES-ALPES (04)","Thermique","Filières EnR et autres","Toutes","107.1","MWh PCI"
"2007","AUBESSAGNE (05)","Thermique","Filières EnR et autres","Toutes","2093.2","MWh PCI"
"2007","AUBIGNAN (84)","Thermique","Filières EnR et autres","Toutes","2913.4","MWh PCI"
"2007","AUBIGNOSC (04)","Thermique","Filières EnR et autres","Toutes","582.7","MWh PCI"
"2007","AUPS (83)","Thermique","Filières EnR et autres","Toutes","2787.2","MWh PCI"
"2007","AUREILLE (13)","Thermique","Filières EnR et autres","Toutes","1211.0","MWh PCI"
"2007","AUREL (84)","Thermique","Filières EnR et autres","Toutes","574.0","MWh PCI"
"2007","AURIBEAU (84)","Thermique","Filières EnR et autres","Toutes","113.6","MWh PCI"
"2007","AURIBEAU-SUR-SIAGNE (06)","Electricité","Filières EnR et autres","Toutes","36549.4","MWh PCI"
"2007","AURIBEAU-SUR-SIAGNE (06)","Thermique","Filières EnR et autres","Toutes","1379.5","MWh PCI"
"2007","AURIOL (13)","Electricité","Filières EnR et autres","Toutes","0.2","MWh PCI"
"2007","AURIOL (13)","Thermique","Filières EnR et autres","Toutes","7340.2","MWh PCI"
"2007","AURONS (13)","Thermique","Filières EnR et autres","Toutes","505.7","MWh PCI"
"2007","AUTHON (04)","Thermique","Filières EnR et autres","Toutes","250.0","MWh PCI"
"2007","AUVARE (06)","Thermique","Filières EnR et autres","Toutes","104.6","MWh PCI"
"2007","AUZET (04)","Thermique","Filières EnR et autres","Toutes","423.9","MWh PCI"
"2007","AVANÇON (05)","Thermique","Filières EnR et autres","Toutes","957.1","MWh PCI"
"2007","AVIGNON (84)","Electricité","Filières EnR et autres","Toutes","421638.9","MWh PCI"
"2007","AVIGNON (84)","Thermique","Filières EnR et autres","Toutes","68255.4","MWh PCI"
"2007","BAGNOLS-EN-FORÊT (83)","Thermique","Filières EnR et autres","Toutes","2265.2","MWh PCI"
"2007","BAIROLS (06)","Thermique","Filières EnR et autres","Toutes","172.4","MWh PCI"
"2007","BANDOL (83)","Electricité","Filières EnR et autres","Toutes","1.1","MWh PCI"
"2007","BANDOL (83)","Thermique","Filières EnR et autres","Toutes","2683.6","MWh PCI"
"2007","BANON (04)","Thermique","Filières EnR et autres","Toutes","1291.4","MWh PCI"
"2007","BARATIER (05)","Thermique","Filières EnR et autres","Toutes","774.7","MWh PCI"
"2007","BARBENTANE (13)","Thermique","Filières EnR et autres","Toutes","2481.1","MWh PCI"
